Source File;Title;Value;Value with Comma
Target Area shapefile is 25_ShapeFile.shp;;;
;% Trips Bike - Simulated Area;7.5;7,5
;% Trips Car - Simulated Area;44.92;44,92
;% Trips Car Passenger - Simulated Area;8.63;8,63
;% Trips PT - Simulated Area;10.79;10,79
;% Trips Walk - Simulated Area;28.16;28,16
;% Trips Bike - Target Area O OR D;5.98;5,98
;% Trips Car - Target Area O OR D;57.0;57,0
;% Trips Car Passenger - Target Area O OR D;11.0;11,0
;% Trips PT - Target Area O OR D;6.39;6,39
;% Trips Walk - Target Area O OR D;19.62;19,62
;% Distance Bike  - Simulated Area;2.36;2,36
;% Distance Car  - Simulated Area;57.94;57,94
;% Distance Car Passenger  - Simulated Area;11.43;11,43
;% Distance PT  - Simulated Area;23.6;23,6
;% Distance Walk  - Simulated Area;4.67;4,67
;% Distance Bike  - Target Area O OR D;1.75;1,75
;% Distance Car  - Target Area O OR D;67.13;67,13
;% Distance Car Passenger  - Target Area O OR D;13.32;13,32
;% Distance PT  - Target Area O OR D;14.64;14,64
;% Distance Walk  - Target Area O OR D;3.16;3,16
;Count Trips Bike - Simulated Area;171424.0;171424,0
;Count Trips Car - Simulated Area;1027045.0;1027045,0
;Count Trips Car Passenger - Simulated Area;197207.0;197207,0
;Count Trips PT - Simulated Area;246762.0;246762,0
;Count Trips Walk - Simulated Area;643884.0;643884,0
;Count Trips Bike - Target Area O OR D;13884.0;13884,0
;Count Trips Car - Target Area O OR D;132338.0;132338,0
;Count Trips Car Passenger - Target Area O OR D;25538.0;25538,0
;Count Trips PT - Target Area O OR D;14840.0;14840,0
;Count Trips Walk - Target Area O OR D;45540.0;45540,0
;Count Distance Bike  - Simulated Area;235896164.0;235896164,0
;Count Distance Car  - Simulated Area;5787024519.0;5787024519,0
;Count Distance Car Passenger  - Simulated Area;1141556830.0;1141556830,0
;Count Distance PT  - Simulated Area;2357791617.0;2357791617,0
;Count Distance Walk  - Simulated Area;466490980.0;466490980,0
;Count Distance Bike  - Target Area O OR D;28075751.0;28075751,0
;Count Distance Car  - Target Area O OR D;1075722906.0;1075722906,0
;Count Distance Car Passenger  - Target Area O OR D;213528578.0;213528578,0
;Count Distance PT  - Target Area O OR D;234579314.0;234579314,0
;Count Distance Walk  - Target Area O OR D;50649227.0;50649227,0
;Count TravelTime Bike Target Area O OR D;0.0;0,0
;Count TravelTime Car Target Area O OR D;0.0;0,0
;Count TravelTime Car Passenger Target Area O OR D;0.0;0,0
;Count TravelTime PT Target Area O OR D;0.0;0,0
;Count TravelTime Walk Target Area O OR D;0.0;0,0
;Average Distance Sim Bike  - Simulated Area;1376.1;1376,1
;Average Distance Sim Car  - Simulated Area;5634.64;5634,64
;Average Distance Sim Car Passenger  - Simulated Area;5788.62;5788,62
;Average Distance Sim PT  - Simulated Area;9554.92;9554,92
;Average Distance Sim Walk  - Simulated Area;724.5;724,5
;Average Distance Sim Bike  - Target Area O OR D;2022.17;2022,17
;Average Distance Sim Car  - Target Area O OR D;8128.6;8128,6
;Average Distance Sim Car Passenger  - Target Area O OR D;8361.21;8361,21
;Average Distance Sim PT  - Target Area O OR D;15807.23;15807,23
;Average Distance Sim Walk  - Target Area O OR D;1112.19;1112,19
;STD Distance Sim Bike  - Simulated Area;2181.49;2181,49
;STD Distance Sim Car  - Simulated Area;7026.2;7026,2
;STD Distance Sim Car Passenger  - Simulated Area;7113.45;7113,45
;STD Distance Sim PT  - Simulated Area;11428.25;11428,25
;STD Distance Sim Walk  - Simulated Area;1988.04;1988,04
;STD Distance Sim Bike  - Target Area O OR D;3464.18;3464,18
;STD Distance Sim Car  - Target Area O OR D;7246.07;7246,07
;STD Distance Sim Car Passenger  - Target Area O OR D;7340.93;7340,93
;STD Distance Sim PT  - Target Area O OR D;9835.07;9835,07
;STD Distance Sim Walk  - Target Area O OR D;3163.95;3163,95
;% Trips Bike - Target Area O AND D;9.54;9,54
;% Trips Car - Target Area O AND D;46.32;46,32
;% Trips Car Passenger - Target Area O AND D;8.32;8,32
;% Trips PT - Target Area O AND D;1.96;1,96
;% Trips Walk - Target Area O AND D;33.85;33,85
;% Distance Bike  - Target Area O AND D;5.66;5,66
;% Distance Car  - Target Area O AND D;67.89;67,89
;% Distance Car Passenger  - Target Area O AND D;12.21;12,21
;% Distance PT  - Target Area O AND D;4.98;4,98
;% Distance Walk  - Target Area O AND D;9.26;9,26
;Count Trips Bike - Target Area O AND D;11980.0;11980,0
;Count Trips Car - Target Area O AND D;58172.0;58172,0
;Count Trips Car Passenger - Target Area O AND D;10443.0;10443,0
;Count Trips PT - Target Area O AND D;2463.0;2463,0
;Count Trips Walk - Target Area O AND D;42518.0;42518,0
;Count Distance Bike  - Target Area O AND D;14044049.0;14044049,0
;Count Distance Car  - Target Area O AND D;168348229.0;168348229,0
;Count Distance Car Passenger  - Target Area O AND D;30285575.0;30285575,0
;Count Distance PT  - Target Area O AND D;12343976.0;12343976,0
;Count Distance Walk  - Target Area O AND D;22954558.0;22954558,0
;Count TravelTime Bike Target Area O AND D;0.0;0,0
;Count TravelTime Car Target Area O AND D;0.0;0,0
;Count TravelTime Car Passenger Target Area O AND D;0.0;0,0
;Count TravelTime PT Target Area O AND D;0.0;0,0
;Count TravelTime Walk Target Area O AND D;0.0;0,0
;Average Distance Sim Bike  - Target Area O AND D;1172.29;1172,29
;Average Distance Sim Car  - Target Area O AND D;2893.97;2893,97
;Average Distance Sim Car Passenger  - Target Area O AND D;2900.08;2900,08
;Average Distance Sim PT  - Target Area O AND D;5011.76;5011,76
;Average Distance Sim Walk  - Target Area O AND D;539.88;539,88
;STD Distance Sim Bike  - Target Area O AND D;1322.26;1322,26
;STD Distance Sim Car  - Target Area O AND D;2882.87;2882,87
;STD Distance Sim Car Passenger  - Target Area O AND D;2872.67;2872,67
;STD Distance Sim PT  - Target Area O AND D;2698.99;2698,99
;STD Distance Sim Walk  - Target Area O AND D;858.56;858,56
;DRT OD Trips;13.0;13,0
;DRT Multi-modal Trips;126.0;126,0
drt_customer_stats_drt.csv;rides;174.0;174,0
drt_customer_stats_drt.csv;wait_average;6535.0;6535
drt_customer_stats_drt.csv;wait_max;18435.0;18435
drt_customer_stats_drt.csv;percentage_WT_below_10;4.6;4,6
drt_customer_stats_drt.csv;inVehicleTravelTime_mean;1544.0;1544
drt_customer_stats_drt.csv;distance_m_mean;8384.0;8384
drt_customer_stats_drt.csv;totalTravelTime_mean;8079.0;8079
drt_customer_stats_drt.csv;rejections;23.0;23,0
drt_customer_stats_drt.csv;rejectionRate;0.12;0,12
drt_detailed_distanceStats_drt.csv;0 pax distance_Km;39.0;39
drt_detailed_distanceStats_drt.csv;1 pax distance_Km;46.0;46
drt_detailed_distanceStats_drt.csv;2 pax distance_Km;37.0;37
drt_detailed_distanceStats_drt.csv;3 pax distance_Km;23.0;23
drt_detailed_distanceStats_drt.csv;4 pax distance_Km;20.0;20
drt_detailed_distanceStats_drt.csv;5 pax distance_Km;29.0;29
drt_detailed_distanceStats_drt.csv;6 pax distance_Km;47.0;47
drt_detailed_distanceStats_drt.csv;7 pax distance_Km;51.0;51
drt_detailed_distanceStats_drt.csv;8 pax distance_Km;51.0;51
drt_sharing_metrics_drt.csv;poolingRate;0.937;0,937
drt_sharing_metrics_drt.csv;sharingFactor;5.678;5,678
drt_sharing_metrics_drt.csv;nTotal;174.0;174,0
drt_vehicle_stats_drt.csv;totalServiceDuration_h;24.0;24
drt_vehicle_stats_drt.csv;totalDistance_Km;343.0;343
drt_vehicle_stats_drt.csv;totalEmptyDistance_Km;39.0;39
drt_vehicle_stats_drt.csv;emptyRatio;0.11;0,11
drt_vehicle_stats_drt.csv;totalPassengerDistanceTraveled_Km;1459.0;1459
drt_vehicle_stats_drt.csv;averageDrivenDistance_Km;343.0;343
drt_vehicle_stats_drt.csv;averageEmptyDistance_Km;39.0;39
drt_vehicle_stats_drt.csv;averagePassengerDistanceTraveled_Km;1459.0;1459
drt_vehicle_stats_drt.csv;d_p/d_t;4.25;4,25
output_drt_detours_drt.csv;Tot distance_Km;1459.0;1459
output_drt_detours_drt.csv;Tot unsharedDistance_Km;267.0;267
output_drt_detours_drt.csv;% unsharedDistance;18.3;18,3
output_drt_detours_drt.csv;Total distanceDetour_Km;31846.0;31846
output_drt_detours_drt.csv;Average distanceDetour ratio;21.831;21,831
output_drt_detours_drt.csv;Total timeDetour;10982.0;10982
operator_costs.txt;operator_cost;0.0;0,0
pkm_modestats.csv;pkm_bike;390118.0;390118
pkm_modestats.csv;pkm_car;13342419.0;13342419
pkm_modestats.csv;pkm_car_passenger;2776920.0;2776920
pkm_modestats.csv;pkm_drt;1459.0;1459
pkm_modestats.csv;pkm_outside;427850.0;427850
pkm_modestats.csv;pkm_pt;3613277.0;3613277
pkm_modestats.csv;pkm_truck;1224073.0;1224073
pkm_modestats.csv;pkm_walk;985620.0;985620
output_drt_detours_drt.csv;modestats_row_101_drt;5e-06;5e-06
output_drt_detours_drt.csv;modestats_row_102_drt;5e-06;5e-06
output_drt_detours_drt.csv;modestats_row_103_drt;5e-06;5e-06
output_drt_detours_drt.csv;modestats_row_104_drt;5e-06;5e-06
